iso3,name,target,predicted,residual,quant_score,qual_score,cof_contribution,cof_raw,debt_service_ratio_contribution,debt_service_ratio_raw,gdp_capita_contribution,gdp_capita_raw,pr_contribution,pr_raw,rol_contribution,rol_raw
GRC,GREECE,-0.937525086567488,-0.5396330575721415,-0.3978920289953465,-1.4847631770770469,-0.5571755364481744,-0.5741355470588213,1.391,-0.504338165994657,0.953336749354176,-0.4062894640235686,26570.0,-0.07252541042293206,3.0,-0.09204327932941289,0.615028759035103
HKG,HONG KONG,-0.984056673943599,-0.5873531861611344,-0.39670348778246456,-1.4847631770770469,-0.6742854302642798,-0.5741355470588213,0.13,-0.504338165994657,0.9,-0.4062894640235686,34103.9,-0.04835027361528804,2.0,-0.2333283099531623,1.55908852839399
HUN,HUNGARY,-0.671630301561149,-0.6419840002385123,-0.02964630132263668,-1.5904160670284293,-0.6297731643137229,-0.5741355470588213,6.188,-0.6099910559460395,27.5,-0.4062894640235686,14060.0,-0.1208756840382201,5.0,-0.11629063357967329,0.777048412214243
ISL,ICELAND,-0.525388169807658,-0.5955573227914441,0.07016915298378612,-1.4847631770770469,-0.6944191892887686,-0.5741355470588213,4.257,-0.504338165994657,0.443147427583225,-0.4062894640235686,44200.0,-0.04835027361528804,2.0,-0.2534620689776511,1.69362133641386
IRL,IRELAND,-1.07711984869581,-0.5997762791376906,-0.4773435695581194,-1.4847631770770469,-0.7047729235374576,-0.5741355470588213,1.391,-0.504338165994657,0.587935361292546,-0.4062894640235686,52660.0,-0.04835027361528804,2.0,-0.26381580322634013,1.7628044899558
ISR,ISRAEL,-0.538682909057974,-0.5752833734285902,0.03660046437061615,-1.4847631770770469,-0.6446649214919172,-0.5741355470588213,0.2,-0.504338165994657,12.5,-0.4062894640235686,31240.0,-0.1208756840382201,5.0,-0.1311823907578676,0.876554416388414
ITA,ITALY,-0.219609167050367,-0.5254303121480224,0.30582114509765534,-1.4847631770770469,-0.522320600853985,-0.5741355470588213,1.391,-0.504338165994657,0.219946613187475,-0.4062894640235686,36250.0,-0.07252541042293206,3.0,-0.05718834373522354,0.38212975825067
JAM,JAMAICA,0.358711990338427,-0.5544448662726151,0.9131568566110422,-1.5904160670284293,-0.41494351094466836,-0.5741355470588213,7.5,-0.6099910559460395,18.0,-0.4062894640235686,5600.0,-0.09670054723057608,4.0,0.07436388298173718,-0.496895884202534
JPN,JAPAN,1.18298582385808,-0.5723931324832792,1.755378956341359,-1.4847631770770469,-0.6375719856550595,-0.5741355470588213,0.168,-0.504338165994657,0.018003976997904,-0.4062894640235686,46380.0,-0.04835027361528804,2.0,-0.19661486534394187,1.31377105988983
KAZ,KAZAKHSTAN,-0.877698759941061,-0.5567433477218621,-0.3209554122191989,-1.5904160670284293,-0.42058421071683283,-0.5741355470588213,1.46,-0.6099910559460395,40.5,-0.4062894640235686,10540.0,-0.1208756840382201,5.0,0.09289832001721669,-0.620742099726306
KOR,"KOREA, REPUBLIC OF",-1.1435935449474,-0.5624205228904597,-0.5811730220569402,-1.4847631770770469,-0.6130982198665501,-0.5741355470588213,3.091,-0.504338165994657,6.3,-0.4062894640235686,22000.0,-0.07252541042293206,3.0,-0.1479659627477886,0.988701436011593
KWT,KUWAIT,0.0994645749572407,-0.5451574886881339,0.6446220636453746,-1.4847631770770469,-0.5707330343116122,-0.5741355470588213,1.3,-0.504338165994657,7.0,-0.4062894640235686,43920.0,-0.09670054723057608,4.0,-0.08142564038520662,0.544082207029201
LVA,LATVIA,0.278943554836521,-0.6344526127234953,0.9133961675600163,-1.5904160670284293,-0.6112903978533024,-0.5741355470588213,0.3,-0.6099910559460395,53.2,-0.4062894640235686,12420.0,-0.09670054723057608,4.0,-0.12198300392689686,0.815084556690273
LBN,LEBANON,-0.957467195442961,-0.564034112396067,-0.39343308304689395,-1.5904160670284293,-0.4384764650355126,-0.5741355470588213,3.927,-0.6099910559460395,16.3,-0.4062894640235686,9320.0,-0.14505082084586413,6.0,0.09918120250618104,-0.662724017890279
