iso3,name,region,as_of_year,hdi_value,segment
PRT,PORTUGAL,DEVELOPED,2011,0.9,HIGH
PRI,PUERTO RICO,EMERGING_NON_AFRICA,2011,0.9,NODATA
QAT,QATAR,EMERGING_NON_AFRICA,2011,0.9,HIGH
REU,REUNION,DEVELOPED,2011,0.75,NODATA
ROU,ROMANIA,EMERGING_NON_AFRICA,2011,0.75,HIGH
RUS,RUSSIAN FEDERATION,EMERGING_NON_AFRICA,2011,0.75,HIGH
RWA,RWANDA,AFRICA,2011,0.45,NODATA
SAU,SAUDI ARABIA,EMERGING_NON_AFRICA,2011,0.6,HIGH
SEN,SENEGAL,AFRICA,2011,0.6,LOW
SRB,SERBIA,EMERGING_NON_AFRICA,2011,0.75,HIGH
SYC,SEYCHELLES,AFRICA,2011,0.75,HIGH
SLE,SIERRA LEONE,AFRICA,2011,0.45,LOW
SGP,SINGAPORE,DEVELOPED,2011,0.9,HIGH
SVK,SLOVAKIA,EMERGING_NON_AFRICA,2011,0.9,HIGH
SVN,SLOVENIA,EMERGING_NON_AFRICA,2011,0.9,HIGH
ZAF,SOUTH AFRICA,AFRICA,2011,0.6,LOW
ESP,SPAIN,DEVELOPED,2011,0.9,HIGH
LKA,SRI LANKA,EMERGING_NON_AFRICA,2011,0.6,LOW
SDN,SUDAN,AFRICA,2011,0.45,NODATA
SWZ,SWAZILAND,EMERGING_NON_AFRICA,2011,0.6,LOW
SWE,SWEDEN,DEVELOPED,2011,0.9,HIGH
CHE,SWITZERLAND,DEVELOPED,2011,0.9,HIGH
TWN,"TAIWAN, PROVINCE OF CHINA",DEVELOPED,2011,0.9,HIGH
TJK,TAJIKISTAN,EMERGING_NON_AFRICA,2011,0.6,NODATA
TZA,"TANZANIA, UNITED REPUBLIC OF",AFRICA,2011,0.45,LOW
THA,THAILAND,EMERGING_NON_AFRICA,2011,0.6,LOW
TGO,TOGO,AFRICA,2011,0.45,NODATA
TTO,TRINIDAD AND TOBAGO,EMERGING_NON_AFRICA,2011,0.75,NODATA
TUN,TUNISIA,AFRICA,2011,0.75,HIGH
TUR,TURKEY,EMERGING_NON_AFRICA,2011,0.75,HIGH
UGA,UGANDA,AFRICA,2011,0.45,LOW
UKR,UKRAINE,EMERGING_NON_AFRICA,2011,0.6,HIGH
ARE,UNITED ARAB EMIRATES,EMERGING_NON_AFRICA,2011,0.75,HIGH
GBR,UNITED KINGDOM,DEVELOPED,2011,0.9,HIGH
USA,UNITED STATES,DEVELOPED,2011,0.9,HIGH
URY,URUGUAY,EMERGING_NON_AFRICA,2011,0.75,HIGH
UZB,UZBEKISTAN,EMERGING_NON_AFRICA,2011,0.45,LOW
VEN,"VENEZUELA, BOLIVARIAN REPUBLIC OF",EMERGING_NON_AFRICA,2011,0.45,HIGH
VNM,VIETNAM,EMERGING_NON_AFRICA,2011,0.6,LOW
VGB,VIRGIN ISLANDS (BRITISH),DEVELOPED,2011,0.9,NODATA
VIR,VIRGIN ISLANDS (U.S.),DEVELOPED,2011,0.9,NODATA
YEM,YEMEN,EMERGING_NON_AFRICA,2011,0.45,LOW
ZMB,ZAMBIA,AFRICA,2011,0.6,LOW
ZWE,ZIMBABWE,AFRICA,2011,0.45,NODATA
